Date,Production
1962-01-01,589
1962-02-01,561
1962-03-01,640
1962-04-01,656
1962-05-01,727
1962-06-01,697
1962-07-01,640
1962-08-01,599
1962-09-01,568
1962-10-01,577
1962-11-01,553
1962-12-01,582
1963-01-01,600
1963-02-01,566
1963-03-01,653
1963-04-01,673
1963-05-01,742
1963-06-01,716
1963-07-01,660
1963-08-01,617
1963-09-01,583
1963-10-01,587
1963-11-01,565
1963-12-01,598
1964-01-01,628
1964-02-01,618
1964-03-01,688
1964-04-01,705
1964-05-01,770
1964-06-01,736
1964-07-01,678
1964-08-01,639
1964-09-01,604
1964-10-01,611
1964-11-01,594
1964-12-01,634
1965-01-01,658
1965-02-01,622
1965-03-01,709
1965-04-01,722
1965-05-01,782
1965-06-01,756
1965-07-01,702
1965-08-01,653
1965-09-01,615
1965-10-01,621
1965-11-01,602
1965-12-01,635
1966-01-01,677
1966-02-01,635
1966-03-01,736
1966-04-01,755
1966-05-01,811
1966-06-01,798
1966-07-01,735
1966-08-01,697
1966-09-01,661
1966-10-01,667
1966-11-01,645
1966-12-01,688
1967-01-01,713
1967-02-01,667
1967-03-01,762
1967-04-01,784
1967-05-01,837
1967-06-01,817
1967-07-01,767
1967-08-01,722
1967-09-01,681
1967-10-01,687
1967-11-01,660
1967-12-01,698
1968-01-01,717
1968-02-01,696
1968-03-01,775
1968-04-01,796
1968-05-01,858
1968-06-01,826
1968-07-01,783
1968-08-01,740
1968-09-01,701
1968-10-01,706
1968-11-01,677
1968-12-01,711
1969-01-01,734
1969-02-01,690
1969-03-01,785
1969-04-01,805
1969-05-01,871
1969-06-01,845
1969-07-01,801
1969-08-01,764
1969-09-01,725
1969-10-01,723
1969-11-01,690
1969-12-01,734
1970-01-01,750
1970-02-01,707
1970-03-01,807
1970-04-01,824
1970-05-01,886
1970-06-01,859
1970-07-01,819
1970-08-01,783
1970-09-01,740
1970-10-01,747
1970-11-01,711
1970-12-01,751
1971-01-01,804
1971-02-01,756
1971-03-01,860
1971-04-01,878
1971-05-01,942
1971-06-01,913
1971-07-01,869
1971-08-01,834
1971-09-01,790
1971-10-01,800
1971-11-01,763
1971-12-01,800
1972-01-01,826
1972-02-01,799
1972-03-01,890
1972-04-01,900
1972-05-01,961
1972-06-01,935
1972-07-01,894
1972-08-01,855
1972-09-01,809
1972-10-01,810
1972-11-01,766
1972-12-01,805
1973-01-01,821
1973-02-01,773
1973-03-01,883
1973-04-01,898
1973-05-01,957
1973-06-01,924
1973-07-01,881
1973-08-01,837
1973-09-01,784
1973-10-01,791
